Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_870,A simulated disease profile for Disease_870 with common medical symptoms and treatments.,"Rash,Vomiting,Headache,Cough,Joint pain","Rest adequately,Regular hand washing,Avoid contact with infected individuals","Omeprazole,Aspirin,Cetirizine","100mg once daily,500mg twice a day","Severe chest pain,Uncontrolled bleeding","Adequate sleep,Regular checkups,Avoid smoking"
Disease_871,A simulated disease profile for Disease_871 with common medical symptoms and treatments.,"Fever,Muscle pain,Chest pain,Shortness of breath,Rash","Regular hand washing,Maintain hygiene,Eat a balanced diet","Ibuprofen,Omeprazole,Loratadine","500mg twice a day,200mg every 8 hours","Severe chest pain,Uncontrolled bleeding","Limit alcohol intake,Daily exercise,Adequate sleep"
Disease_872,A simulated disease profile for Disease_872 with common medical symptoms and treatments.,"Joint pain,Chest pain,Loss of appetite,Fever,Fatigue","Regular hand washing,Maintain hygiene,Use protective gear","Amoxicillin,Ibuprofen,Omeprazole","100mg once daily,250mg every 6 hours","Difficulty breathing,Severe dehydration","Daily exercise,Stress management,Limit alcohol intake"
Disease_873,A simulated disease profile for Disease_873 with common medical symptoms and treatments.,"Headache,Shortness of breath,Joint pain,Nausea,Vomiting","Use protective gear,Vaccination,Maintain hygiene","Metformin,Paracetamol,Loratadine","500mg twice a day,250mg every 6 hours","High-grade fever,Loss of consciousness","Daily exercise,Low-fat diet,Stress management"
Disease_874,A simulated disease profile for Disease_874 with common medical symptoms and treatments.,"Muscle pain,Sore throat,Loss of appetite,Chest pain,Shortness of breath","Eat a balanced diet,Avoid spicy food,Physical distancing","Omeprazole,Ibuprofen,Aspirin","250mg every 6 hours,200mg every 8 hours","High-grade fever,Difficulty breathing","Avoid smoking,Limit alcohol intake,Stress management"
Disease_875,A simulated disease profile for Disease_875 with common medical symptoms and treatments.,"Nausea,Loss of appetite,Rash,Shortness of breath,Fatigue","Rest adequately,Drink plenty of water,Maintain hygiene","Loratadine,Metformin,Amoxicillin","200mg every 8 hours,1 tablet after meals","Severe chest pain,Severe dehydration","Stress management,Limit alcohol intake,Hydration"
Disease_876,A simulated disease profile for Disease_876 with common medical symptoms and treatments.,"Muscle pain,Joint pain,Fever,Loss of appetite,Chest pain","Physical distancing,Use protective gear,Drink plenty of water","Ibuprofen,Amoxicillin,Prednisone","100mg once daily,10ml thrice a day","Loss of consciousness,High-grade fever","Avoid smoking,Regular checkups,Limit alcohol intake"
Disease_877,A simulated disease profile for Disease_877 with common medical symptoms and treatments.,"Loss of appetite,Chest pain,Headache,Vomiting,Blurred vision","Avoid contact with infected individuals,Use protective gear,Physical distancing","Metformin,Aspirin,Ibuprofen","250mg every 6 hours,1 tablet after meals","High-grade fever,Uncontrolled bleeding","Avoid smoking,Regular checkups,Adequate sleep"
Disease_878,A simulated disease profile for Disease_878 with common medical symptoms and treatments.,"Vomiting,Rash,Dizziness,Blurred vision,Chest pain","Use protective gear,Drink plenty of water,Avoid spicy food","Aspirin,Loratadine,Ibuprofen","10ml thrice a day,100mg once daily","Severe dehydration,Loss of consciousness","Hydration,Avoid smoking,Low-fat diet"
Disease_879,A simulated disease profile for Disease_879 with common medical symptoms and treatments.,"Chest pain,Rash,Fatigue,Loss of appetite,Vomiting","Physical distancing,Drink plenty of water,Rest adequately","Azithromycin,Loratadine,Prednisone","200mg every 8 hours,250mg every 6 hours","High-grade fever,Uncontrolled bleeding","Limit alcohol intake,Low-fat diet,Avoid smoking"
Disease_880,A simulated disease profile for Disease_880 with common medical symptoms and treatments.,"Headache,Joint pain,Nausea,Blurred vision,Fatigue","Drink plenty of water,Avoid contact with infected individuals,Eat a balanced diet","Amoxicillin,Aspirin,Ibuprofen","500mg twice a day,200mg every 8 hours","Severe chest pain,Severe dehydration","Limit alcohol intake,Low-fat diet,Stress management"
Disease_881,A simulated disease profile for Disease_881 with common medical symptoms and treatments.,"Dizziness,Cough,Loss of appetite,Shortness of breath,Sore throat","Physical distancing,Avoid contact with infected individuals,Eat a balanced diet","Loratadine,Aspirin,Azithromycin","200mg every 8 hours,1 tablet after meals","Difficulty breathing,High-grade fever","Avoid smoking,Adequate sleep,Limit alcohol intake"
Disease_882,A simulated disease profile for Disease_882 with common medical symptoms and treatments.,"Muscle pain,Cough,Rash,Sore throat,Vomiting","Vaccination,Physical distancing,Maintain hygiene","Amoxicillin,Paracetamol,Loratadine","250mg every 6 hours,10ml thrice a day","Severe chest pain,Difficulty breathing","Avoid smoking,Regular checkups,Limit alcohol intake"
Disease_883,A simulated disease profile for Disease_883 with common medical symptoms and treatments.,"Shortness of breath,Muscle pain,Cough,Joint pain,Nausea","Rest adequately,Physical distancing,Maintain hygiene","Paracetamol,Amoxicillin,Cetirizine","250mg every 6 hours,500mg twice a day","Loss of consciousness,High-grade fever","Avoid smoking,Daily exercise,Regular checkups"
Disease_884,A simulated disease profile for Disease_884 with common medical symptoms and treatments.,"Vomiting,Nausea,Headache,Fever,Rash","Regular hand washing,Avoid spicy food,Physical distancing","Cetirizine,Amoxicillin,Aspirin","200mg every 8 hours,1 tablet after meals","Severe dehydration,Uncontrolled bleeding","Hydration,Regular checkups,Daily exercise"
Disease_885,A simulated disease profile for Disease_885 with common medical symptoms and treatments.,"Loss of appetite,Headache,Cough,Fever,Blurred vision","Avoid contact with infected individuals,Physical distancing,Eat a balanced diet","Azithromycin,Paracetamol,Omeprazole","500mg twice a day,200mg every 8 hours","Difficulty breathing,Loss of consciousness","Low-fat diet,Hydration,Daily exercise"
Disease_886,A simulated disease profile for Disease_886 with common medical symptoms and treatments.,"Dizziness,Vomiting,Joint pain,Muscle pain,Nausea","Drink plenty of water,Use protective gear,Avoid contact with infected individuals","Ibuprofen,Amoxicillin,Cetirizine","250mg every 6 hours,10ml thrice a day","Severe chest pain,Uncontrolled bleeding","Stress management,Hydration,Low-fat diet"
Disease_887,A simulated disease profile for Disease_887 with common medical symptoms and treatments.,"Loss of appetite,Dizziness,Cough,Muscle pain,Blurred vision","Use protective gear,Vaccination,Physical distancing","Amoxicillin,Cetirizine,Ibuprofen","100mg once daily,1 tablet after meals","Uncontrolled bleeding,High-grade fever","Adequate sleep,Low-fat diet,Limit alcohol intake"
Disease_888,A simulated disease profile for Disease_888 with common medical symptoms and treatments.,"Rash,Muscle pain,Loss of appetite,Headache,Shortness of breath","Use protective gear,Avoid contact with infected individuals,Regular hand washing","Cetirizine,Ibuprofen,Azithromycin","100mg once daily,200mg every 8 hours","Loss of consciousness,Severe dehydration","Stress management,Limit alcohol intake,Adequate sleep"
Disease_889,A simulated disease profile for Disease_889 with common medical symptoms and treatments.,"Sore throat,Joint pain,Dizziness,Blurred vision,Chest pain","Physical distancing,Eat a balanced diet,Avoid spicy food","Azithromycin,Omeprazole,Paracetamol","250mg every 6 hours,100mg once daily","Severe chest pain,Severe dehydration","Daily exercise,Hydration,Low-fat diet"
Disease_890,A simulated disease profile for Disease_890 with common medical symptoms and treatments.,"Fatigue,Fever,Joint pain,Sore throat,Rash","Avoid spicy food,Regular hand washing,Drink plenty of water","Paracetamol,Amoxicillin,Metformin","10ml thrice a day,1 tablet after meals","Loss of consciousness,Uncontrolled bleeding","Hydration,Regular checkups,Low-fat diet"
Disease_891,A simulated disease profile for Disease_891 with common medical symptoms and treatments.,"Nausea,Dizziness,Rash,Shortness of breath,Cough","Use protective gear,Rest adequately,Vaccination","Loratadine,Amoxicillin,Azithromycin","500mg twice a day,100mg once daily","Loss of consciousness,High-grade fever","Stress management,Limit alcohol intake,Avoid smoking"
Disease_892,A simulated disease profile for Disease_892 with common medical symptoms and treatments.,"Fever,Nausea,Shortness of breath,Dizziness,Fatigue","Avoid contact with infected individuals,Vaccination,Maintain hygiene","Paracetamol,Loratadine,Prednisone","250mg every 6 hours,1 tablet after meals","High-grade fever,Severe chest pain","Stress management,Daily exercise,Adequate sleep"
Disease_893,A simulated disease profile for Disease_893 with common medical symptoms and treatments.,"Chest pain,Shortness of breath,Fatigue,Cough,Rash","Avoid spicy food,Drink plenty of water,Use protective gear","Paracetamol,Prednisone,Azithromycin","100mg once daily,1 tablet after meals","Severe dehydration,Loss of consciousness","Hydration,Limit alcohol intake,Stress management"
Disease_894,A simulated disease profile for Disease_894 with common medical symptoms and treatments.,"Nausea,Blurred vision,Sore throat,Joint pain,Headache","Drink plenty of water,Vaccination,Avoid spicy food","Loratadine,Ibuprofen,Amoxicillin","100mg once daily,200mg every 8 hours","Loss of consciousness,High-grade fever","Low-fat diet,Adequate sleep,Hydration"
Disease_895,A simulated disease profile for Disease_895 with common medical symptoms and treatments.,"Vomiting,Sore throat,Nausea,Cough,Blurred vision","Physical distancing,Drink plenty of water,Vaccination","Loratadine,Paracetamol,Omeprazole","500mg twice a day,1 tablet after meals","Uncontrolled bleeding,Severe dehydration","Avoid smoking,Low-fat diet,Stress management"
Disease_896,A simulated disease profile for Disease_896 with common medical symptoms and treatments.,"Joint pain,Vomiting,Chest pain,Muscle pain,Rash","Avoid contact with infected individuals,Eat a balanced diet,Avoid spicy food","Aspirin,Omeprazole,Amoxicillin","200mg every 8 hours,100mg once daily","Severe dehydration,Loss of consciousness","Stress management,Regular checkups,Avoid smoking"
Disease_897,A simulated disease profile for Disease_897 with common medical symptoms and treatments.,"Shortness of breath,Joint pain,Cough,Loss of appetite,Headache","Avoid contact with infected individuals,Regular hand washing,Maintain hygiene","Paracetamol,Amoxicillin,Prednisone","250mg every 6 hours,1 tablet after meals","High-grade fever,Difficulty breathing","Adequate sleep,Regular checkups,Limit alcohol intake"
Disease_898,A simulated disease profile for Disease_898 with common medical symptoms and treatments.,"Chest pain,Blurred vision,Nausea,Fatigue,Rash","Vaccination,Eat a balanced diet,Drink plenty of water","Azithromycin,Aspirin,Paracetamol","100mg once daily,10ml thrice a day","Uncontrolled bleeding,Severe chest pain","Limit alcohol intake,Regular checkups,Stress management"
Disease_899,A simulated disease profile for Disease_899 with common medical symptoms and treatments.,"Cough,Fever,Joint pain,Rash,Headache","Maintain hygiene,Use protective gear,Physical distancing","Paracetamol,Amoxicillin,Omeprazole","1 tablet after meals,250mg every 6 hours","Uncontrolled bleeding,Difficulty breathing","Limit alcohol intake,Low-fat diet,Stress management"
Disease_900,A simulated disease profile for Disease_900 with common medical symptoms and treatments.,"Muscle pain,Rash,Shortness of breath,Joint pain,Sore throat","Use protective gear,Vaccination,Avoid spicy food","Ibuprofen,Aspirin,Metformin","200mg every 8 hours,1 tablet after meals","Difficulty breathing,Severe chest pain","Limit alcohol intake,Regular checkups,Hydration"
Disease_901,A simulated disease profile for Disease_901 with common medical symptoms and treatments.,"Headache,Nausea,Chest pain,Shortness of breath,Vomiting","Maintain hygiene,Avoid spicy food,Drink plenty of water","Omeprazole,Aspirin,Ibuprofen","1 tablet after meals,200mg every 8 hours","Uncontrolled bleeding,Loss of consciousness","Limit alcohol intake,Daily exercise,Adequate sleep"
Disease_902,A simulated disease profile for Disease_902 with common medical symptoms and treatments.,"Nausea,Dizziness,Blurred vision,Joint pain,Muscle pain","Drink plenty of water,Avoid contact with infected individuals,Vaccination","Amoxicillin,Aspirin,Loratadine","250mg every 6 hours,200mg every 8 hours","Difficulty breathing,Severe chest pain","Daily exercise,Hydration,Adequate sleep"
Disease_903,A simulated disease profile for Disease_903 with common medical symptoms and treatments.,"Chest pain,Rash,Blurred vision,Shortness of breath,Fatigue","Maintain hygiene,Regular hand washing,Eat a balanced diet","Ibuprofen,Aspirin,Cetirizine","100mg once daily,1 tablet after meals","Uncontrolled bleeding,Loss of consciousness","Adequate sleep,Limit alcohol intake,Stress management"
Disease_904,A simulated disease profile for Disease_904 with common medical symptoms and treatments.,"Nausea,Vomiting,Rash,Shortness of breath,Headache","Drink plenty of water,Physical distancing,Avoid spicy food","Prednisone,Ibuprofen,Loratadine","100mg once daily,250mg every 6 hours","High-grade fever,Uncontrolled bleeding","Limit alcohol intake,Hydration,Adequate sleep"
Disease_905,A simulated disease profile for Disease_905 with common medical symptoms and treatments.,"Joint pain,Nausea,Cough,Headache,Shortness of breath","Avoid contact with infected individuals,Regular hand washing,Physical distancing","Azithromycin,Loratadine,Amoxicillin","100mg once daily,250mg every 6 hours","Uncontrolled bleeding,High-grade fever","Adequate sleep,Hydration,Avoid smoking"
Disease_906,A simulated disease profile for Disease_906 with common medical symptoms and treatments.,"Fatigue,Vomiting,Rash,Chest pain,Loss of appetite","Drink plenty of water,Rest adequately,Avoid contact with infected individuals","Aspirin,Cetirizine,Azithromycin","200mg every 8 hours,250mg every 6 hours","Severe chest pain,Severe dehydration","Limit alcohol intake,Low-fat diet,Adequate sleep"
Disease_907,A simulated disease profile for Disease_907 with common medical symptoms and treatments.,"Blurred vision,Sore throat,Headache,Joint pain,Chest pain","Use protective gear,Maintain hygiene,Avoid spicy food","Ibuprofen,Loratadine,Prednisone","10ml thrice a day,100mg once daily","Loss of consciousness,Difficulty breathing","Low-fat diet,Daily exercise,Hydration"
Disease_908,A simulated disease profile for Disease_908 with common medical symptoms and treatments.,"Cough,Sore throat,Blurred vision,Muscle pain,Fatigue","Avoid spicy food,Regular hand washing,Eat a balanced diet","Cetirizine,Aspirin,Paracetamol","200mg every 8 hours,500mg twice a day","Difficulty breathing,High-grade fever","Hydration,Regular checkups,Low-fat diet"
Disease_909,A simulated disease profile for Disease_909 with common medical symptoms and treatments.,"Rash,Loss of appetite,Fever,Nausea,Headache","Avoid contact with infected individuals,Eat a balanced diet,Use protective gear","Prednisone,Loratadine,Cetirizine","500mg twice a day,250mg every 6 hours","Loss of consciousness,Severe dehydration","Avoid smoking,Low-fat diet,Adequate sleep"
Disease_910,A simulated disease profile for Disease_910 with common medical symptoms and treatments.,"Cough,Rash,Dizziness,Sore throat,Vomiting","Rest adequately,Vaccination,Use protective gear","Paracetamol,Cetirizine,Amoxicillin","200mg every 8 hours,10ml thrice a day","Loss of consciousness,Severe chest pain","Adequate sleep,Daily exercise,Regular checkups"
Disease_911,A simulated disease profile for Disease_911 with common medical symptoms and treatments.,"Fever,Fatigue,Headache,Nausea,Sore throat","Physical distancing,Avoid spicy food,Use protective gear","Loratadine,Aspirin,Prednisone","500mg twice a day,1 tablet after meals","High-grade fever,Loss of consciousness","Daily exercise,Avoid smoking,Stress management"
Disease_912,A simulated disease profile for Disease_912 with common medical symptoms and treatments.,"Loss of appetite,Headache,Muscle pain,Nausea,Fatigue","Regular hand washing,Use protective gear,Drink plenty of water","Prednisone,Omeprazole,Paracetamol","10ml thrice a day,1 tablet after meals","Severe dehydration,Loss of consciousness","Daily exercise,Hydration,Adequate sleep"
Disease_913,A simulated disease profile for Disease_913 with common medical symptoms and treatments.,"Rash,Chest pain,Fatigue,Dizziness,Vomiting","Vaccination,Use protective gear,Rest adequately","Paracetamol,Prednisone,Cetirizine","100mg once daily,250mg every 6 hours","Severe chest pain,High-grade fever","Regular checkups,Low-fat diet,Limit alcohol intake"
Disease_914,A simulated disease profile for Disease_914 with common medical symptoms and treatments.,"Blurred vision,Fatigue,Headache,Loss of appetite,Dizziness","Drink plenty of water,Eat a balanced diet,Maintain hygiene","Amoxicillin,Loratadine,Omeprazole","10ml thrice a day,100mg once daily","High-grade fever,Difficulty breathing","Regular checkups,Hydration,Limit alcohol intake"
Disease_915,A simulated disease profile for Disease_915 with common medical symptoms and treatments.,"Sore throat,Muscle pain,Nausea,Loss of appetite,Vomiting","Regular hand washing,Vaccination,Use protective gear","Prednisone,Amoxicillin,Omeprazole","250mg every 6 hours,200mg every 8 hours","High-grade fever,Severe dehydration","Hydration,Stress management,Limit alcohol intake"
Disease_916,A simulated disease profile for Disease_916 with common medical symptoms and treatments.,"Nausea,Cough,Rash,Loss of appetite,Fatigue","Eat a balanced diet,Drink plenty of water,Use protective gear","Prednisone,Metformin,Cetirizine","100mg once daily,250mg every 6 hours","Difficulty breathing,High-grade fever","Adequate sleep,Avoid smoking,Stress management"
Disease_917,A simulated disease profile for Disease_917 with common medical symptoms and treatments.,"Nausea,Cough,Joint pain,Rash,Fever","Rest adequately,Avoid spicy food,Maintain hygiene","Amoxicillin,Paracetamol,Prednisone","10ml thrice a day,100mg once daily","Difficulty breathing,Severe chest pain","Avoid smoking,Hydration,Adequate sleep"
Disease_918,A simulated disease profile for Disease_918 with common medical symptoms and treatments.,"Blurred vision,Headache,Vomiting,Shortness of breath,Nausea","Use protective gear,Regular hand washing,Rest adequately","Ibuprofen,Cetirizine,Loratadine","1 tablet after meals,10ml thrice a day","Loss of consciousness,Difficulty breathing","Adequate sleep,Avoid smoking,Hydration"
Disease_919,A simulated disease profile for Disease_919 with common medical symptoms and treatments.,"Blurred vision,Dizziness,Joint pain,Headache,Rash","Regular hand washing,Eat a balanced diet,Maintain hygiene","Azithromycin,Loratadine,Metformin","200mg every 8 hours,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Low-fat diet,Stress management,Limit alcohol intake"
Disease_920,A simulated disease profile for Disease_920 with common medical symptoms and treatments.,"Vomiting,Chest pain,Fever,Dizziness,Rash","Physical distancing,Avoid spicy food,Rest adequately","Loratadine,Aspirin,Omeprazole","100mg once daily,500mg twice a day","Loss of consciousness,Difficulty breathing","Daily exercise,Adequate sleep,Low-fat diet"
Disease_921,A simulated disease profile for Disease_921 with common medical symptoms and treatments.,"Fatigue,Cough,Vomiting,Chest pain,Joint pain","Avoid contact with infected individuals,Use protective gear,Maintain hygiene","Prednisone,Amoxicillin,Metformin","100mg once daily,250mg every 6 hours","Difficulty breathing,Uncontrolled bleeding","Avoid smoking,Hydration,Daily exercise"
Disease_922,A simulated disease profile for Disease_922 with common medical symptoms and treatments.,"Dizziness,Muscle pain,Joint pain,Loss of appetite,Chest pain","Avoid contact with infected individuals,Physical distancing,Avoid spicy food","Prednisone,Ibuprofen,Omeprazole","100mg once daily,200mg every 8 hours","High-grade fever,Uncontrolled bleeding","Low-fat diet,Regular checkups,Limit alcohol intake"
Disease_923,A simulated disease profile for Disease_923 with common medical symptoms and treatments.,"Shortness of breath,Fatigue,Rash,Loss of appetite,Chest pain","Vaccination,Maintain hygiene,Regular hand washing","Amoxicillin,Paracetamol,Prednisone","10ml thrice a day,500mg twice a day","Difficulty breathing,High-grade fever","Adequate sleep,Stress management,Regular checkups"
Disease_924,A simulated disease profile for Disease_924 with common medical symptoms and treatments.,"Blurred vision,Nausea,Rash,Shortness of breath,Sore throat","Rest adequately,Maintain hygiene,Avoid spicy food","Aspirin,Paracetamol,Prednisone","500mg twice a day,200mg every 8 hours","High-grade fever,Uncontrolled bleeding","Low-fat diet,Regular checkups,Limit alcohol intake"
Disease_925,A simulated disease profile for Disease_925 with common medical symptoms and treatments.,"Loss of appetite,Shortness of breath,Chest pain,Rash,Fatigue","Avoid spicy food,Use protective gear,Physical distancing","Loratadine,Azithromycin,Aspirin","500mg twice a day,200mg every 8 hours","Severe chest pain,Difficulty breathing","Regular checkups,Stress management,Hydration"
Disease_926,A simulated disease profile for Disease_926 with common medical symptoms and treatments.,"Vomiting,Cough,Dizziness,Rash,Sore throat","Rest adequately,Vaccination,Use protective gear","Paracetamol,Prednisone,Omeprazole","500mg twice a day,1 tablet after meals","Loss of consciousness,High-grade fever","Limit alcohol intake,Low-fat diet,Regular checkups"
Disease_927,A simulated disease profile for Disease_927 with common medical symptoms and treatments.,"Dizziness,Loss of appetite,Fever,Vomiting,Fatigue","Eat a balanced diet,Rest adequately,Maintain hygiene","Loratadine,Paracetamol,Metformin","200mg every 8 hours,10ml thrice a day","Severe dehydration,Loss of consciousness","Hydration,Limit alcohol intake,Stress management"
Disease_928,A simulated disease profile for Disease_928 with common medical symptoms and treatments.,"Chest pain,Shortness of breath,Joint pain,Loss of appetite,Muscle pain","Physical distancing,Avoid spicy food,Avoid contact with infected individuals","Aspirin,Prednisone,Metformin","250mg every 6 hours,1 tablet after meals","Severe chest pain,Difficulty breathing","Limit alcohol intake,Low-fat diet,Adequate sleep"
Disease_929,A simulated disease profile for Disease_929 with common medical symptoms and treatments.,"Chest pain,Blurred vision,Joint pain,Headache,Sore throat","Eat a balanced diet,Avoid contact with infected individuals,Physical distancing","Amoxicillin,Omeprazole,Aspirin","10ml thrice a day,500mg twice a day","High-grade fever,Loss of consciousness","Limit alcohol intake,Adequate sleep,Avoid smoking"
Disease_930,A simulated disease profile for Disease_930 with common medical symptoms and treatments.,"Shortness of breath,Rash,Blurred vision,Cough,Loss of appetite","Eat a balanced diet,Avoid contact with infected individuals,Physical distancing","Amoxicillin,Azithromycin,Aspirin","500mg twice a day,10ml thrice a day","Difficulty breathing,Severe chest pain","Avoid smoking,Low-fat diet,Limit alcohol intake"
Disease_931,A simulated disease profile for Disease_931 with common medical symptoms and treatments.,"Loss of appetite,Muscle pain,Fatigue,Fever,Joint pain","Maintain hygiene,Use protective gear,Eat a balanced diet","Loratadine,Aspirin,Cetirizine","200mg every 8 hours,1 tablet after meals","Difficulty breathing,Uncontrolled bleeding","Stress management,Regular checkups,Limit alcohol intake"
Disease_932,A simulated disease profile for Disease_932 with common medical symptoms and treatments.,"Vomiting,Rash,Loss of appetite,Joint pain,Nausea","Avoid contact with infected individuals,Regular hand washing,Drink plenty of water","Paracetamol,Omeprazole,Amoxicillin","200mg every 8 hours,1 tablet after meals","Severe chest pain,Loss of consciousness","Low-fat diet,Daily exercise,Avoid smoking"
Disease_933,A simulated disease profile for Disease_933 with common medical symptoms and treatments.,"Muscle pain,Nausea,Chest pain,Loss of appetite,Shortness of breath","Regular hand washing,Physical distancing,Rest adequately","Amoxicillin,Aspirin,Omeprazole","100mg once daily,1 tablet after meals","High-grade fever,Severe dehydration","Daily exercise,Limit alcohol intake,Low-fat diet"
Disease_934,A simulated disease profile for Disease_934 with common medical symptoms and treatments.,"Rash,Muscle pain,Sore throat,Dizziness,Nausea","Avoid contact with infected individuals,Use protective gear,Maintain hygiene","Cetirizine,Aspirin,Azithromycin","200mg every 8 hours,250mg every 6 hours","Difficulty breathing,Severe dehydration","Hydration,Avoid smoking,Stress management"
Disease_935,A simulated disease profile for Disease_935 with common medical symptoms and treatments.,"Joint pain,Chest pain,Shortness of breath,Headache,Fever","Regular hand washing,Avoid contact with infected individuals,Eat a balanced diet","Aspirin,Loratadine,Metformin","250mg every 6 hours,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Daily exercise,Avoid smoking,Low-fat diet"
Disease_936,A simulated disease profile for Disease_936 with common medical symptoms and treatments.,"Fever,Nausea,Cough,Sore throat,Rash","Eat a balanced diet,Avoid spicy food,Use protective gear","Azithromycin,Prednisone,Omeprazole","100mg once daily,500mg twice a day","Severe chest pain,Uncontrolled bleeding","Adequate sleep,Hydration,Avoid smoking"
Disease_937,A simulated disease profile for Disease_937 with common medical symptoms and treatments.,"Cough,Fatigue,Nausea,Fever,Shortness of breath","Avoid contact with infected individuals,Rest adequately,Physical distancing","Cetirizine,Azithromycin,Paracetamol","500mg twice a day,250mg every 6 hours","Severe dehydration,Loss of consciousness","Limit alcohol intake,Adequate sleep,Hydration"
Disease_938,A simulated disease profile for Disease_938 with common medical symptoms and treatments.,"Fever,Nausea,Vomiting,Chest pain,Rash","Eat a balanced diet,Use protective gear,Rest adequately","Metformin,Omeprazole,Ibuprofen","250mg every 6 hours,10ml thrice a day","Difficulty breathing,High-grade fever","Regular checkups,Hydration,Avoid smoking"
Disease_939,A simulated disease profile for Disease_939 with common medical symptoms and treatments.,"Nausea,Rash,Dizziness,Fever,Joint pain","Avoid contact with infected individuals,Regular hand washing,Drink plenty of water","Prednisone,Paracetamol,Aspirin","200mg every 8 hours,100mg once daily","Loss of consciousness,Uncontrolled bleeding","Limit alcohol intake,Hydration,Avoid smoking"
Disease_940,A simulated disease profile for Disease_940 with common medical symptoms and treatments.,"Rash,Chest pain,Joint pain,Loss of appetite,Cough","Regular hand washing,Physical distancing,Use protective gear","Ibuprofen,Omeprazole,Amoxicillin","10ml thrice a day,500mg twice a day","Uncontrolled bleeding,Severe dehydration","Hydration,Daily exercise,Avoid smoking"
Disease_941,A simulated disease profile for Disease_941 with common medical symptoms and treatments.,"Rash,Dizziness,Chest pain,Blurred vision,Nausea","Rest adequately,Physical distancing,Regular hand washing","Omeprazole,Paracetamol,Loratadine","500mg twice a day,100mg once daily","Difficulty breathing,Uncontrolled bleeding","Limit alcohol intake,Daily exercise,Stress management"
Disease_942,A simulated disease profile for Disease_942 with common medical symptoms and treatments.,"Shortness of breath,Joint pain,Loss of appetite,Nausea,Fatigue","Regular hand washing,Physical distancing,Vaccination","Prednisone,Omeprazole,Azithromycin","500mg twice a day,250mg every 6 hours","Severe chest pain,Difficulty breathing","Avoid smoking,Low-fat diet,Regular checkups"
Disease_943,A simulated disease profile for Disease_943 with common medical symptoms and treatments.,"Rash,Nausea,Muscle pain,Fatigue,Joint pain","Use protective gear,Regular hand washing,Avoid spicy food","Amoxicillin,Loratadine,Cetirizine","1 tablet after meals,200mg every 8 hours","Severe dehydration,Severe chest pain","Hydration,Adequate sleep,Daily exercise"
Disease_944,A simulated disease profile for Disease_944 with common medical symptoms and treatments.,"Dizziness,Vomiting,Cough,Muscle pain,Sore throat","Avoid contact with infected individuals,Avoid spicy food,Physical distancing","Ibuprofen,Paracetamol,Cetirizine","250mg every 6 hours,100mg once daily","Uncontrolled bleeding,Difficulty breathing","Low-fat diet,Hydration,Stress management"
Disease_945,A simulated disease profile for Disease_945 with common medical symptoms and treatments.,"Vomiting,Headache,Cough,Fever,Sore throat","Regular hand washing,Avoid contact with infected individuals,Maintain hygiene","Omeprazole,Aspirin,Azithromycin","200mg every 8 hours,1 tablet after meals","Severe chest pain,Severe dehydration","Low-fat diet,Stress management,Daily exercise"
Disease_946,A simulated disease profile for Disease_946 with common medical symptoms and treatments.,"Fatigue,Fever,Nausea,Muscle pain,Shortness of breath","Rest adequately,Physical distancing,Vaccination","Amoxicillin,Aspirin,Metformin","250mg every 6 hours,100mg once daily","High-grade fever,Uncontrolled bleeding","Hydration,Low-fat diet,Avoid smoking"
Disease_947,A simulated disease profile for Disease_947 with common medical symptoms and treatments.,"Vomiting,Headache,Sore throat,Nausea,Chest pain","Rest adequately,Use protective gear,Drink plenty of water","Metformin,Omeprazole,Loratadine","250mg every 6 hours,500mg twice a day","Difficulty breathing,Severe chest pain","Limit alcohol intake,Daily exercise,Hydration"
Disease_948,A simulated disease profile for Disease_948 with common medical symptoms and treatments.,"Nausea,Vomiting,Dizziness,Fever,Headache","Maintain hygiene,Avoid spicy food,Regular hand washing","Paracetamol,Cetirizine,Loratadine","1 tablet after meals,100mg once daily","Difficulty breathing,High-grade fever","Hydration,Low-fat diet,Regular checkups"
Disease_949,A simulated disease profile for Disease_949 with common medical symptoms and treatments.,"Muscle pain,Vomiting,Chest pain,Dizziness,Joint pain","Regular hand washing,Use protective gear,Eat a balanced diet","Amoxicillin,Prednisone,Aspirin","1 tablet after meals,200mg every 8 hours","Severe chest pain,Difficulty breathing","Hydration,Low-fat diet,Regular checkups"
Disease_950,A simulated disease profile for Disease_950 with common medical symptoms and treatments.,"Shortness of breath,Nausea,Fever,Loss of appetite,Blurred vision","Regular hand washing,Physical distancing,Use protective gear","Aspirin,Cetirizine,Azithromycin","500mg twice a day,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Regular checkups,Low-fat diet,Limit alcohol intake"
Disease_951,A simulated disease profile for Disease_951 with common medical symptoms and treatments.,"Headache,Fatigue,Blurred vision,Nausea,Chest pain","Avoid contact with infected individuals,Use protective gear,Maintain hygiene","Ibuprofen,Loratadine,Aspirin","1 tablet after meals,250mg every 6 hours","High-grade fever,Severe chest pain","Adequate sleep,Limit alcohol intake,Avoid smoking"
